Year,Sex,Age,Past or forecasted
1990,Females,84.2,Past
1991,Females,84.3,Past
1992,Females,84.4,Past
1993,Females,84.7,Past
1994,Females,85,Past
1995,Females,85.2,Past
1996,Females,85.5,Past
1997,Females,85.7,Past
1998,Females,85.9,Past
1999,Females,86.2,Past
2000,Females,86.5,Past
2001,Females,86.8,Past
2002,Females,87.1,Past
2003,Females,87.3,Past
2004,Females,87.3,Past
2005,Females,87.2,Past
2006,Females,87.4,Past
2007,Females,87.5,Past
2008,Females,87.6,Past
2009,Females,87.6,Past
2010,Females,87.4,Past
2011,Females,87.5,Past
2012,Females,87.6,Past
2013,Females,87.6,Past
2014,Females,87.6,Past
2015,Females,87.8,Past
2016,Females,88,Past
2017,Females,88.2,Past
2018,Females,88.1,Past
2019,Females,88.2,Past
2020,Females,88.8,Past
2021,Females,88.3,Past
1990,Males,76.4,Past
1991,Males,76.9,Past
1992,Males,76.8,Past
1993,Males,77,Past
1994,Males,77.4,Past
1995,Males,77.2,Past
1996,Males,77.7,Past
1997,Males,77.8,Past
1998,Males,77.8,Past
1999,Males,77.8,Past
2000,Males,77.9,Past
2001,Males,78.2,Past
2002,Males,78.7,Past
2003,Males,78.7,Past
2004,Males,78.9,Past
2005,Males,79.2,Past
2006,Males,79.3,Past
2007,Males,79.4,Past
2008,Males,79.5,Past
2009,Males,79.4,Past
2010,Males,79.7,Past
2011,Males,79.8,Past
2012,Males,80.3,Past
2013,Males,80.5,Past
2014,Males,80.9,Past
2015,Males,81,Past
2016,Males,81.1,Past
2017,Males,81.4,Past
2018,Males,81.7,Past
2019,Males,81.7,Past
2020,Males,81.8,Past
2021,Males,81.5,Past

"Life expectancy at birth, 1990-2050.",
"See related publication: Burden of disease scenarios for 204 countries and territories, 2022–2050: a forecasting analysis for the Global Burden of Disease Study 2021",
"https://doi.org/10.1016/S0140-6736(24)00685-8"
