"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Feb.20, 2024"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A4200","","A420001","","A420002","","A4270","","A427001","","A5301",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A4200_Number of deaths[person]","Annotation","A420001_Number of deaths (Male)[person]","Annotation","A420002_Number of deaths (Female)[person]","Annotation","A4270_Number of stillbirths[fetu]","Annotation","A427001_Number of natural stillbirths[fetu]","Annotation","A5301_Rates of net migration[permill]","Annotation"
"2021100000","2021","00000","All Japan","","1,439,856","","738,141","","701,715","","16,277","","***","","***",""
"2021100000","2021","47000","Okinawa-ken","","13,582","","7,256","","6,326","","367","","***","","***",""
"2020100000","2020","00000","All Japan","","1,372,755","","706,834","","665,921","","17,278","","***","","***",""
"2020100000","2020","47000","Okinawa-ken","","12,390","","6,703","","5,687","","323","","***","","***",""
"2019100000","2019","00000","All Japan","","1,381,093","","707,421","","673,672","","19,454","","***","","1.7",""
"2019100000","2019","47000","Okinawa-ken","","12,509","","6,767","","5,742","","370","","***","","1.9",""
"2018100000","2018","00000","All Japan","","1,362,470","","699,138","","663,332","","19,614","","***","","1.3",""
"2018100000","2018","47000","Okinawa-ken","","12,157","","6,311","","5,846","","382","","***","","0.5",""
"2017100000","2017","00000","All Japan","","1,340,567","","690,770","","649,797","","20,364","","***","","***",""
"2017100000","2017","47000","Okinawa-ken","","11,945","","6,415","","5,530","","428","","***","","***",""
"2016100000","2016","00000","All Japan","","1,308,158","","674,946","","633,212","","20,941","","***","","***",""
"2016100000","2016","47000","Okinawa-ken","","11,706","","6,300","","5,406","","434","","***","","***",""
"2015100000","2015","00000","All Japan","","1,290,510","","666,728","","623,782","","22,621","","***","","***",""
"2015100000","2015","47000","Okinawa-ken","","11,326","","5,992","","5,334","","423","","***","","***",""
"2014100000","2014","00000","All Japan","","1,273,025","","660,340","","612,685","","23,526","","***","","***",""
"2014100000","2014","47000","Okinawa-ken","","11,362","","6,052","","5,310","","494","","***","","***",""
"2013100000","2013","00000","All Japan","","1,268,438","","658,685","","609,753","","24,102","","***","","***",""
"2013100000","2013","47000","Okinawa-ken","","10,956","","5,769","","5,187","","443","","***","","***",""
"2012100000","2012","00000","All Japan","","1,256,359","","655,526","","600,833","","24,800","","***","","***",""
"2012100000","2012","47000","Okinawa-ken","","10,626","","5,637","","4,989","","507","","***","","***",""
"2011100000","2011","00000","All Japan","","1,253,068","","656,542","","596,526","","25,751","","***","","***",""
"2011100000","2011","47000","Okinawa-ken","","10,686","","5,720","","4,966","","556","","***","","***",""
"2010100000","2010","00000","All Japan","","1,197,014","","633,701","","563,313","","26,560","","***","","***",""
"2010100000","2010","47000","Okinawa-ken","","10,156","","5,416","","4,740","","560","","***","","***",""
"2009100000","2009","00000","All Japan","","1,141,865","","609,042","","532,823","","27,005","","***","","***",""
